IPC,L2C TOTAL_MPKI,L1I TOTAL_MPKI,L1D TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,LLC TOTAL_MPKI,File
0.549058,5.40851,5.97978,10.6068,1.19741,5.69118,0.079475,2.5616,client_001.txt
0.635402,3.57138,8.98425,4.72244,2.19496,3.07029,0.164245,0.9577,client_002.txt
0.620745,6.13367,9.62862,6.9552,1.65075,2.19512,0.07218,3.70625,client_003.txt
0.524405,8.70499,12.2391,13.8116,2.47523,6.23241,0.45445,4.81511,client_006.txt
0.530164,3.81936,16.1161,13.5155,2.69114,5.92622,0.086775,2.46971,client_007.txt
0.453376,5.59611,21.4894,18.9671,4.99641,15.2348,0.155715,2.4227,client_008.txt
0.596468,8.5889,9.71386,8.11205,2.0866,5.89814,0.58844,4.44933,server_001.txt
0.665632,0.380995,14.7161,0.35058,4.94399,4.59449,0.00695,0.255665,server_002.txt
0.368179,15.6978,19.2066,14.2122,3.12486,9.32552,1.647,2.8813,server_003.txt
0.352857,15.2877,19.8355,43.8789,3.28187,30.3085,2.02688,1.71512,server_004.txt
0.394848,16.9708,22.4361,30.8783,3.56161,23.5469,2.05137,1.23093,server_009.txt
0.406947,18.1005,23.6858,24.0164,3.7471,19.3407,2.2143,1.1984,server_010.txt
0.407476,18.3703,24.3413,12.7792,3.8064,11.8741,2.12954,1.66593,server_011.txt
0.429361,18.8554,25.2905,12.6738,4.0271,12.5099,2.28035,1.24107,server_012.txt
0.416073,19.7495,26.2724,12.8807,4.11348,12.7573,2.32112,1.39606,server_013.txt
0.635061,1.00163,28.5116,0.91267,7.9515,3.38982,0.01751,0.653065,server_014.txt
0.649916,0.001285,29.9477,0.00268,8.43077,3.7187,2.5,0.0004,server_015.txt
0.381829,5.46373,36.8761,15.1989,7.05104,6.85429,0.038845,0.52918,server_016.txt
0.450262,32.9607,42.3136,33.0341,7.0933,8.10968,0.970315,33.0055,server_017.txt
0.456852,32.9508,42.2897,33.1076,7.08015,8.03449,0.735055,29.4036,server_018.txt
0.451665,33.3974,42.5071,33.8131,7.14782,7.98921,0.84571,34.1846,server_019.txt
0.499431,33.239,44.6065,33.5783,7.46267,7.84738,0.612495,31.5017,server_020.txt
0.517667,33.0867,45.4011,33.8644,7.6713,7.49248,0.37428,30.0039,server_021.txt
0.520331,33.426,45.646,33.9359,7.71359,7.61892,0.36503,30.8469,server_022.txt
0.338092,7.43131,47.3417,19.6144,9.04199,8.88284,0.05443,0.742405,server_023.txt
0.334602,8.17258,48.0783,19.6799,9.13976,8.9489,0.056975,0.7189,server_024.txt
0.323594,6.66309,49.7613,19.1379,9.55165,8.84249,0.04427,0.424005,server_025.txt
0.312624,7.72391,52.6387,21.0986,10.0561,9.18226,0.0396,0.34783,server_026.txt
0.313492,6.51684,52.8824,20.2564,10.1247,9.12959,0.040865,0.468265,server_027.txt
0.309846,5.20442,55.4185,28.3747,10.946,10.411,0.388965,0.579465,server_028.txt
0.305166,6.12305,55.8936,28.7427,11.0051,10.4741,0.27321,0.656725,server_029.txt
0.30609,5.93861,56.6031,28.7751,11.1386,10.1357,0.145065,0.113045,server_030.txt
0.30283,5.33656,57.5072,24.4533,11.3207,10.7226,0.27688,0.68277,server_031.txt
0.30128,3.11517,60.6055,22.3657,12.071,9.80477,0.00598,0.02112,server_032.txt
0.37815,4.26107,62.9063,12.4986,10.1307,8.50596,0.082405,0.34013,server_033.txt
0.385614,1.32069,62.9755,11.9024,10.1618,7.9382,0.013485,0.025365,server_034.txt
0.350994,3.8828,63.9321,12.5128,10.2213,8.61323,0.17005,3.05547,server_035.txt
0.56703,0.36169,71.6771,0.36753,9.23802,4.57496,0.007335,0.222815,server_036.txt
0.501504,2.86754,76.6375,8.38686,12.3813,10.0273,0.11398,0.385735,server_037.txt
0.50009,2.73814,77.1925,8.45381,12.4636,9.98115,0.114045,0.385795,server_038.txt
0.522355,0.012755,77.1558,1.0657,10.7736,5.9109,0.00135,0.012385,server_039.txt
0.424634,19.5764,25.8239,12.741,4.0192,12.752,2.27723,1.38218,srv_0.txt
0.344035,13.6322,17.2319,66.9547,2.75163,43.4564,1.62939,1.0209,srv_1.txt
0.429134,19.2732,25.2172,12.8674,3.97169,12.5749,2.31813,1.18156,srv_10.txt
0.345762,13.3107,17.1107,67.0266,2.69738,44.9331,1.57116,0.98022,srv_11.txt
0.330159,7.45832,49.5148,20.7147,9.4908,9.26934,0.046485,0.105565,srv_12.txt
0.336473,7.46933,48.2042,19.716,9.19062,8.968,0.046755,0.25157,srv_13.txt
0.30779,5.62416,56.4714,27.7139,11.1172,10.0166,0.137305,0.01166,srv_14.txt
0.313557,5.12007,57.2194,28.0005,11.2719,10.1944,0.14381,0.014025,srv_15.txt
0.297511,4.30581,61.008,22.5405,12.1334,9.86392,0.00652,0.00568,srv_16.txt
0.300158,3.55337,60.6553,22.4504,12.0808,9.82948,0.007465,0.004395,srv_17.txt
0.307464,6.791,55.7347,29.0953,10.9349,10.3575,0.28784,0.313215,srv_18.txt
0.307805,5.53825,56.7243,25.2347,11.1786,10.5613,0.31711,0.295335,srv_19.txt
0.452126,15.5799,25.7415,12.5146,3.89372,12.9711,1.67031,1.64681,srv_2.txt
0.311672,7.85795,53.0825,20.518,10.1684,9.20869,0.041365,0.106965,srv_20.txt
0.312641,7.50458,53.0722,20.482,10.1705,9.11515,0.044655,0.093175,srv_21.txt
0.333453,7.96622,48.5513,19.9703,9.27945,8.97339,0.04925,0.126655,srv_22.txt
0.308612,5.04749,57.0441,28.3862,11.2692,10.1413,0.146885,0.013665,srv_23.txt
0.300088,2.9236,61.1451,22.6139,12.1539,9.95289,0.006025,0.004825,srv_24.txt
0.305039,5.33838,57.5038,25.268,11.3171,10.7891,0.284795,0.272615,srv_25.txt
0.312048,7.10393,53.459,20.465,10.2656,9.22885,0.04917,0.0722,srv_26.txt
0.72396,2.38811,3.0373,2.36155,0.51147,8.89918,0.428475,1.18527,srv_27.txt
0.718539,2.59057,3.16264,2.59485,0.529665,8.99278,0.43563,1.40294,srv_28.txt
0.716315,2.72135,3.28732,2.70929,0.547285,9.04161,0.43722,1.50159,srv_29.txt
0.458836,15.2791,25.5228,12.3548,3.85073,11.9064,1.65492,1.48088,srv_3.txt
0.720099,2.56132,3.21889,2.54436,0.53748,9.03208,0.432745,1.35491,srv_30.txt
0.721114,2.467,3.19185,2.44793,0.53352,9.04457,0.433155,1.2786,srv_31.txt
0.506657,3.19534,77.0508,8.36896,12.4323,10.0751,0.112205,0.08118,srv_32.txt
0.524223,33.2761,45.5907,33.9323,7.71449,7.58125,0.367785,31.6647,srv_33.txt
0.522879,33.1284,45.6485,33.8688,7.71077,7.54861,0.381345,31.5362,srv_34.txt
0.517023,33.2648,45.5273,33.9231,7.69155,7.65503,0.39085,31.3498,srv_35.txt
0.521677,33.3413,45.295,34.0764,7.67502,7.56844,0.39976,31.6086,srv_36.txt
0.515431,33.3128,45.3811,33.9574,7.6628,7.66901,0.40766,31.6636,srv_37.txt
0.524182,33.2061,45.0051,34.0204,7.62068,7.45249,0.36996,31.5541,srv_38.txt
0.525329,33.2202,45.525,33.8817,7.70153,7.58517,0.39048,31.1978,srv_39.txt
0.464712,15.3106,25.4865,12.5865,3.97637,12.9496,1.58786,1.52713,srv_4.txt
0.669978,9.31541,6.34211,11.9135,1.32745,1.57271,0.238815,7.93816,srv_40.txt
0.435931,12.8799,23.6948,12.0058,4.43053,4.91512,0.505395,1.64562,srv_41.txt
0.334631,17.2516,42.2919,23.0251,8.25389,9.11646,0.593645,0.460405,srv_42.txt
0.337492,15.7156,42.1922,22.8528,8.228,9.05867,0.591655,0.422985,srv_43.txt
0.261895,14.7052,61.6363,28.05,12.8551,11.4533,0.505915,2.16464,srv_44.txt
0.254204,13.794,65.7686,28.7497,13.7391,12.2882,0.540465,1.42284,srv_45.txt
0.429759,10.3468,24.9519,13.1249,6.58416,6.18591,0.260485,2.07026,srv_46.txt
0.425756,10.0376,25.6586,13.1764,6.7525,6.30213,0.28644,1.95829,srv_47.txt
0.439783,12.0394,21.4025,12.0602,5.24485,5.1764,0.39187,3.04958,srv_48.txt
0.444434,10.7555,21.3977,11.2509,5.20544,5.28127,0.43942,2.44547,srv_49.txt
0.462054,15.401,25.7573,12.5496,4.03885,13.0662,1.59604,1.46686,srv_5.txt
0.403202,15.1195,25.5391,13.475,4.79754,5.02441,0.43096,2.38221,srv_50.txt
0.418106,13.4579,23.7205,12.3149,4.45493,5.23734,0.42212,2.00633,srv_51.txt
0.301863,21.0504,42.4987,20.6897,8.20544,8.44622,0.728005,1.68544,srv_52.txt
0.351287,15.0195,32.1157,14.4972,6.31199,6.27914,0.461015,0.78666,srv_53.txt
0.516061,9.133,16.4163,8.41679,2.99563,3.12503,0.389435,1.40416,srv_54.txt
0.446101,12.9584,22.7762,11.5409,4.21701,4.48197,0.56689,1.7515,srv_55.txt
0.603302,3.2984,13.1988,6.76372,4.08771,4.49929,0.26548,0.439605,srv_56.txt
0.602028,3.82057,12.6251,6.73283,4.19086,4.6992,0.36749,0.830015,srv_57.txt
0.646257,2.24689,9.6805,4.64846,2.60026,3.25716,0.002655,0.00152,srv_58.txt
0.611515,2.63889,11.2106,5.45017,3.00709,3.52654,0.003675,0.00196,srv_59.txt
0.464461,15.0778,25.0763,12.4155,3.94903,12.8786,1.72126,1.53183,srv_6.txt
0.41069,20.9105,26.3265,13.6175,4.12148,12.9059,2.53024,1.31321,srv_60.txt
0.420533,19.6043,26.0549,12.827,4.11016,12.714,2.28892,1.34507,srv_61.txt
0.456159,15.3576,25.6464,12.4598,3.87377,12.8378,1.70282,1.48553,srv_62.txt
0.451893,15.8517,25.7226,12.4601,3.90289,13.0497,1.77803,1.50125,srv_63.txt
0.464868,15.3216,25.6384,12.5398,4.0038,13.025,1.59984,1.45183,srv_64.txt
0.466748,15.2604,25.5222,12.4557,4.01355,11.745,1.57141,1.42294,srv_65.txt
0.463449,15.2609,25.1923,12.3996,3.9688,12.8434,1.71377,1.54296,srv_66.txt
0.466499,14.7821,25.1088,12.301,3.96569,12.8938,1.6336,1.54111,srv_67.txt
0.453578,16.4969,23.8504,11.899,3.67856,11.9482,1.89036,1.52973,srv_68.txt
0.421174,18.5775,25.2938,12.4488,4.07732,12.3118,2.26568,1.51655,srv_69.txt
0.438302,17.6899,25.4658,12.6306,4.09023,11.8308,2.1277,1.58707,srv_7.txt
0.333881,7.47895,48.5513,19.97,9.27945,8.97365,0.04925,0.14327,srv_70.txt
0.307241,4.87777,57.4395,28.7321,11.3581,10.2909,0.14568,0.02978,srv_71.txt
0.301392,3.30381,60.6235,22.4393,12.0737,9.85395,0.006175,0.005145,srv_72.txt
0.305393,7.00439,56.0951,27.47,11.0678,10.6445,0.32688,0.547575,srv_73.txt
0.311047,8.00282,53.3605,20.3868,10.2471,9.22628,0.04645,0.046845,srv_74.txt
0.523789,33.3818,45.2671,34.0597,7.68371,7.61832,0.376155,31.5098,srv_75.txt
0.517851,33.4506,45.2552,34.1183,7.65623,7.64201,0.391435,31.7635,srv_76.txt
0.583977,9.38249,11.0312,8.44188,2.29306,6.8465,0.757815,3.90787,srv_8.txt
0.377888,7.90064,3.46254,72.5315,0.70056,42.5511,0.48992,6.52954,srv_9.txt
