IPC,L2C TOTAL_MPKI,L1I TOTAL_MPKI,L1D TOTAL_MPKI,LLC TOTAL_MPKI,ITLB TOTAL_MPKI,DTLB TOTAL_MPKI,STLB TOTAL_MPKI,,File
0.569678,8.03096,5.97973,12.409,4.21617,1.19741,5.69235,0.07936,,client_001.txt
0.636845,5.3239,8.98425,5.77221,1.20564,2.19496,3.07061,0.16394,,client_002.txt
0.62346,6.72032,9.62862,7.37681,4.12943,1.65075,2.19491,0.07217,,client_003.txt
0.551571,14.9382,12.2391,19.4147,9.30645,2.47523,6.23578,0.45443,,client_006.txt
0.549495,5.42749,16.1161,14.2998,3.52336,2.69114,5.92611,0.08671,,client_007.txt
0.4596,8.96701,21.4894,20.9451,3.34845,4.99641,15.2373,0.155615,,client_008.txt
0.584029,13.637,9.71386,12.0687,8.54483,2.0866,5.87635,0.588265,,server_001.txt
0.666022,0.475135,14.7161,0.43769,0.358495,4.94399,4.59447,0.006945,,server_002.txt
0.357453,22.8234,19.2066,17.571,6.22512,3.12486,9.32339,1.64611,,server_003.txt
0.344606,21.6374,19.8355,44.039,3.90167,3.28187,30.3075,2.02579,,server_004.txt
0.386032,24.9637,22.4361,32.6147,2.6992,3.56161,23.5447,2.04954,,server_009.txt
0.397167,26.4813,23.6858,26.6055,2.58518,3.7471,19.3387,2.21279,,server_010.txt
0.395409,27.9648,24.3413,17.3843,3.8979,3.8064,11.8716,2.12787,,server_011.txt
0.419728,27.5949,25.2905,16.4064,2.55423,4.0271,12.5081,2.27867,,server_012.txt
0.401576,30.8371,26.2724,18.0174,3.67769,4.11348,12.7551,2.31881,,server_013.txt
0.635956,1.18948,28.5116,1.08343,0.94072,7.9515,3.3898,0.01749,,server_014.txt
0.649919,0.00164,29.9477,0.002565,0.000575,8.43077,3.7187,2.5,,server_015.txt
0.375307,11.1038,36.8761,19.099,0.862075,7.05104,6.85429,0.03886,,server_016.txt
0.47449,47.3819,42.3136,45.8298,42.6449,7.0933,8.1083,0.970425,,server_017.txt
0.478804,46.9475,42.2898,45.7063,38.9572,7.08016,8.03488,0.73535,,server_018.txt
0.470349,46.2822,42.5071,44.8302,38.783,7.14782,7.98799,0.84562,,server_019.txt
0.520869,46.1274,44.6065,46.2895,40.1113,7.46267,7.84934,0.612455,,server_020.txt
0.540946,42.432,45.4011,42.5661,36.8501,7.6713,7.49471,0.374175,,server_021.txt
0.541158,42.5063,45.646,42.5767,36.5779,7.71359,7.62063,0.364965,,server_022.txt
0.331691,14.6881,47.3418,24.9372,1.16309,9.04199,8.88296,0.05441,,server_023.txt
0.328285,15.4142,48.0783,24.5092,1.14124,9.13976,8.94913,0.0567,,server_024.txt
0.32008,10.3814,49.7613,20.7171,0.65907,9.55165,8.84247,0.04425,,server_025.txt
0.306624,14.6073,52.6387,25.5037,0.82295,10.0561,9.18238,0.0396,,server_026.txt
0.308563,11.9948,52.8824,22.9495,0.77388,10.1247,9.12937,0.040875,,server_027.txt
0.30035,17.9324,55.4185,40.5357,2.34691,10.946,10.4109,0.384595,,server_028.txt
0.29547,18.7882,55.8936,40.1142,2.45075,11.0051,10.474,0.27112,,server_029.txt
0.299393,13.8511,56.6031,40.1039,0.544645,11.1386,10.1358,0.14519,,server_030.txt
0.297555,11.9559,57.5072,28.5724,1.7511,11.3207,10.7225,0.276035,,server_031.txt
0.300754,3.6797,60.6055,23.1877,0.03084,12.071,9.80477,0.005925,,server_032.txt
0.377467,6.39377,62.9063,13.2298,0.966815,10.1307,8.50614,0.082375,,server_033.txt
0.385377,1.76794,62.9755,12.0855,0.09745,10.1618,7.93851,0.013485,,server_034.txt
0.364621,6.16544,63.9321,14.2289,4.70968,10.2213,8.6165,0.170085,,server_035.txt
0.567229,0.43012,71.6771,0.42042,0.309105,9.23802,4.57497,0.00734,,server_036.txt
0.50058,6.07234,76.6375,9.64872,0.977255,12.3813,10.0291,0.11398,,server_037.txt
0.499076,5.93323,77.1925,9.78824,0.97032,12.4636,9.98327,0.114045,,server_038.txt
0.522122,0.015595,77.1558,0.97421,0.01505,10.7736,5.9109,0.00135,,server_039.txt
0.411929,30.3548,25.8239,17.7032,3.63912,4.0192,12.7496,2.27569,,srv_0.txt
0.335021,21.1817,17.2319,64.7073,3.38647,2.75163,43.4561,1.6287,,srv_1.txt
0.419266,28.4159,25.2172,16.8008,2.50048,3.97169,12.5726,2.3165,,srv_10.txt
0.337045,19.6677,17.1107,64.9436,2.70505,2.69738,44.93,1.57007,,srv_11.txt
0.323141,14.6321,49.5149,25.5162,0.651135,9.49081,9.26953,0.04619,,srv_12.txt
0.32865,15.4364,48.2042,25.1395,0.85399,9.19062,8.96824,0.046685,,srv_13.txt
0.300963,13.0076,56.4714,37.9825,0.3772,11.1172,10.0166,0.13677,,srv_14.txt
0.307242,12.2076,57.2194,37.8089,0.362335,11.2719,10.1943,0.144945,,srv_15.txt
0.296978,5.08995,61.008,23.4477,0.01404,12.1334,9.86393,0.00652,,srv_16.txt
0.299233,4.37411,60.6553,23.0694,0.013355,12.0808,9.82953,0.007465,,srv_17.txt
0.295009,21.228,55.7347,45.8005,2.44017,10.9349,10.3573,0.27979,,srv_18.txt
0.300859,11.8577,56.7243,29.2589,1.45934,11.1786,10.561,0.312725,,srv_19.txt
0.444731,22.0155,25.7414,16.055,2.23332,3.89372,12.9713,1.66846,,srv_2.txt
0.30626,13.3621,53.0825,23.4524,0.64722,10.1684,9.20871,0.04139,,srv_20.txt
0.307206,12.9955,53.0722,23.3969,0.620435,10.1705,9.11518,0.044575,,srv_21.txt
0.326794,15.0724,48.5513,24.6369,0.65142,9.27945,8.97362,0.04917,,srv_22.txt
0.301682,12.4746,57.0441,38.2423,0.336705,11.2692,10.1416,0.146945,,srv_23.txt
0.299245,3.85927,61.1451,23.6085,0.01471,12.1539,9.95288,0.00602,,srv_24.txt
0.295067,15.2925,57.5038,31.6482,1.815,11.3171,10.7894,0.27936,,srv_25.txt
0.308327,10.8587,53.459,21.9294,0.44496,10.2656,9.2286,0.04914,,srv_26.txt
0.72898,7.75151,3.0373,5.71004,5.53792,0.51147,8.89936,0.428195,,srv_27.txt
0.720747,8.21757,3.16264,6.31941,6.20546,0.529665,8.993,0.43523,,srv_28.txt
0.720316,8.54042,3.28732,6.76221,6.40234,0.547285,9.04202,0.43698,,srv_29.txt
0.448904,21.969,25.5228,15.9045,2.15738,3.85073,11.9064,1.65307,,srv_3.txt
0.721588,8.31397,3.21888,6.30987,6.17112,0.53748,9.03247,0.432525,,srv_30.txt
0.725243,7.88325,3.19185,6.02184,5.7051,0.53352,9.045,0.432855,,srv_31.txt
0.501103,6.73106,77.0508,9.74438,0.88432,12.4323,10.0765,0.11215,,srv_32.txt
0.542134,42.4812,45.5907,42.5372,36.0628,7.71449,7.58388,0.367675,,srv_33.txt
0.542353,42.3268,45.6485,42.4626,36.6945,7.71077,7.54901,0.381205,,srv_34.txt
0.535731,42.6962,45.5273,42.7711,36.8319,7.69157,7.65692,0.390525,,srv_35.txt
0.540497,42.511,45.295,42.6722,36.7021,7.67502,7.56944,0.39972,,srv_36.txt
0.535036,42.4818,45.3811,42.4638,37.0754,7.6628,7.67009,0.40749,,srv_37.txt
0.544417,42.437,45.0051,42.7013,36.8484,7.62068,7.45406,0.3698,,srv_38.txt
0.544341,42.5109,45.525,42.4488,36.4051,7.70153,7.5867,0.39027,,srv_39.txt
0.456343,22.0997,25.4865,16.1289,2.19867,3.97637,12.9485,1.58563,,srv_4.txt
0.677096,10.5647,6.34211,13.1022,8.7685,1.32746,1.57258,0.238825,,srv_40.txt
0.430376,17.3618,23.6949,14.869,3.38501,4.43053,4.91554,0.505305,,srv_41.txt
0.329402,22.1009,42.2919,24.164,0.89683,8.25389,9.1169,0.593935,,srv_42.txt
0.331178,20.9211,42.1922,24.2137,1.04317,8.228,9.05883,0.59178,,srv_43.txt
0.256443,26.1478,61.6366,36.1917,5.5934,12.8551,11.454,0.506235,,srv_44.txt
0.249742,21.8247,65.7686,34.3021,3.87243,13.7391,12.2875,0.54059,,srv_45.txt
0.425323,17.2132,24.9519,17.7709,4.60716,6.58416,6.1853,0.26058,,srv_46.txt
0.420024,16.7708,25.6586,18.0211,4.34146,6.7525,6.3022,0.28656,,srv_47.txt
0.426875,19.4533,21.4025,17.275,6.61171,5.24486,5.17618,0.39216,,srv_48.txt
0.43325,16.7865,21.3975,15.2039,5.33716,5.20544,5.28032,0.439585,,srv_49.txt
0.454823,21.7742,25.7573,16.1146,2.00364,4.03885,13.0683,1.59434,,srv_5.txt
0.393916,24.4996,25.5391,19.0997,4.98086,4.79754,5.02396,0.430825,,srv_50.txt
0.410214,20.1502,23.7205,16.2763,4.31035,4.45493,5.23741,0.42235,,srv_51.txt
0.293507,31.2512,42.4988,26.3845,4.39569,8.20544,8.44666,0.728175,,srv_52.txt
0.345012,19.6872,32.1157,16.6,2.11564,6.31199,6.27904,0.461055,,srv_53.txt
0.50783,13.57,16.4163,11.1035,3.43967,2.99563,3.12526,0.38935,,srv_54.txt
0.43855,18.6506,22.7763,14.8536,4.30318,4.21701,4.48212,0.56683,,srv_55.txt
0.587458,6.88291,13.1988,9.70296,2.42998,4.08771,4.49903,0.26547,,srv_56.txt
0.586721,8.03978,12.6251,10.2721,3.32057,4.19086,4.69893,0.36745,,srv_57.txt
0.642124,3.35972,9.6805,5.29368,0.016315,2.60026,3.25671,0.00269,,srv_58.txt
0.606383,4.09675,11.2106,6.1265,0.01783,3.00709,3.52646,0.003675,,srv_59.txt
0.45695,21.5252,25.0763,15.8792,2.08509,3.94903,12.8746,1.71911,,srv_6.txt
0.39943,31.4738,26.3265,18.718,3.77583,4.12148,12.9034,2.52761,,srv_60.txt
0.405758,31.0265,26.0549,17.9767,4.20275,4.11016,12.7131,2.28625,,srv_61.txt
0.445369,22.2795,25.6464,16.0138,2.21547,3.87377,12.8372,1.70012,,srv_62.txt
0.44129,22.8165,25.7226,16.0099,2.44147,3.90289,13.0499,1.77721,,srv_63.txt
0.45676,21.8065,25.6384,16.1089,2.03275,4.0038,13.0256,1.59763,,srv_64.txt
0.458645,21.6146,25.5222,15.9629,2.00043,4.01355,11.743,1.56967,,srv_65.txt
0.45388,21.8647,25.1923,15.9219,2.20923,3.96881,12.844,1.7113,,srv_66.txt
0.457671,21.6525,25.1088,15.7997,2.20071,3.96569,12.8948,1.632,,srv_67.txt
0.446381,22.7177,23.8503,15.1527,2.39257,3.67856,11.9463,1.88838,,srv_68.txt
0.412067,26.9892,25.2938,16.03,3.4968,4.07732,12.3091,2.26491,,srv_69.txt
0.429575,24.1652,25.4658,16.3149,2.54694,4.09023,11.8291,2.12424,,srv_7.txt
0.327122,14.7949,48.5513,24.6199,0.67541,9.27945,8.97377,0.04918,,srv_70.txt
0.300049,12.5902,57.4395,38.9736,0.560075,11.3581,10.2909,0.14519,,srv_71.txt
0.300324,4.26102,60.6236,23.1854,0.013055,12.0737,9.85395,0.006105,,srv_72.txt
0.294495,20.7665,56.0951,40.7072,2.60757,11.0678,10.6445,0.321795,,srv_73.txt
0.307528,11.4973,53.3605,21.8018,0.327785,10.2471,9.22625,0.04649,,srv_74.txt
0.542562,42.6924,45.2671,42.8522,36.5705,7.68371,7.62119,0.37595,,srv_75.txt
0.538866,42.549,45.2552,42.777,37.1326,7.65623,7.64391,0.391485,,srv_76.txt
0.576433,14.976,11.0312,12.3671,7.9328,2.29307,6.7823,0.757625,,srv_8.txt
0.374048,10.8947,3.46254,69.3317,9.14782,0.70056,42.548,0.48983,,srv_9.txt
